month,cf
1,0.0721345967741936
2,0.14565504464285708
3,0.19570073924731174
4,0.2043648472222221
5,0.20547700268817182
6,0.2548117083333335
7,0.2579630107526882
8,0.2456494489247314
9,0.20221165277777772
10,0.16135255376344096
11,0.09434338888888891
12,0.047351344086021534
