generation,fitness
475,6508696.5
476,6505059
477,6500823
478,6500823
479,6496485
480,6496485
481,6495486
482,6495486
483,6492352
484,6488060
485,6488060
486,6488060
487,6486764
488,6483857
489,6479155.5
490,6477884.5
491,6476222.5
492,6473465.5
493,6470514.5
494,6469608
495,6468318
496,6467029.5
497,6464968.5
498,6459486
499,6459486
500,6456031.5
501,6453673.5
502,6453673.5
503,6450606
504,6441468.5
505,6441468.5
506,6437752.5
507,6436693.5
508,6436693.5
509,6434380
510,6429298
511,6419781
512,6419781
513,6419781
514,6419409
515,6412124
516,6410326.5
517,6408053
518,6404083.5
519,6398021.5
520,6398021.5
521,6388476.5
522,6388476.5
523,6382674
524,6382674
525,6376615
526,6376615
527,6374490.5
528,6367832.5
529,6366214
530,6363297.5
531,6362317
532,6358921
533,6356612.5
534,6356612.5
535,6348759.5
536,6343637.5
537,6343637.5
538,6336110
539,6336110
540,6336110
541,6335637
542,6330551
543,6327358
544,6327358
545,6327358
546,6325113.5
547,6325113.5
548,6323755
549,6322403
550,6321720
551,6319754
552,6315650
553,6315650
554,6311786
555,6311786
556,6306844.5
557,6303276
558,6303193.5
559,6302506
560,6302170
561,6297583.5
562,6294390
563,6289497.5
564,6289497.5
565,6288032
566,6289368.5
567,6286790
568,6284252
569,6281506
570,6281217.5
571,6281217.5
572,6277095
573,6277095
574,6270819
575,6270819
576,6268622.5
577,6259664
578,6257533
579,6257533
580,6257216
581,6253926
582,6249657
583,6244295
584,6244295
585,6238886
586,6238886
587,6232824
588,6232824
589,6229364
590,6225067
591,6225067
592,6225067
593,6223712
594,6221060
595,6219317
596,6219317
597,6216071.5
598,6215935
599,6214236.5
600,6209111
601,6204343
602,6199538.5
603,6199538.5
604,6198945.5
605,6198945.5
606,6195652.5
607,6188590.5
608,6188590.5
609,6188590.5
610,6184506.5
611,6180885.5
612,6180598
613,6176087
614,6177217
615,6174886
616,6169703
617,6166727
618,6158789
619,6158789
620,6145998.5
621,6145998.5
622,6145998.5
623,6142081
624,6141183.5
625,6135098.5
626,6133012
627,6132031
628,6127943
629,6121586
630,6115671
631,6115671
632,6108743.5
633,6102109
634,6102109
635,6089449
636,6089449
637,6089449
638,6082918
639,6081813.5
640,6076386.5
641,6081813.5
642,6077564
643,6073675
644,6073675
645,6070358.5
646,6066994
647,6066035
648,6063446
649,6062977
650,6053965
651,6052709
652,6051093
653,6046061.5
654,6043824
655,6039648
