time,P,G(i),H_sun,T2m,WS10m,Int
20190105:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190105:0710,28.19,46.04,7.71,0.0,0.0,0.0
20190105:0810,79.14,104.98,16.35,0.0,0.0,0.0
20190105:0910,142.82,175.88,23.15,0.0,0.0,0.0
20190105:1010,106.35,135.36,27.51,0.0,0.0,0.0
20190105:1110,55.58,78.27,28.86,0.0,0.0,0.0
20190105:1210,624.69,744.54,27.02,0.0,0.0,0.0
20190105:1310,135.36,167.59,22.25,0.0,0.0,0.0
20190105:1410,70.97,95.77,15.12,0.0,0.0,0.0
20190105:1510,12.36,25.78,6.26,0.0,0.0,0.0
20190105:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190105:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190105:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190105:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190105:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0710,29.7,47.88,7.73,0.0,0.0,0.0
20190106:0810,58.8,81.95,16.39,0.0,0.0,0.0
20190106:0910,71.78,96.69,23.22,0.0,0.0,0.0
20190106:1010,636.74,760.71,27.6,0.0,0.0,0.0
20190106:1110,58.8,81.95,28.98,0.0,0.0,0.0
20190106:1210,678.02,815.67,27.16,0.0,0.0,0.0
20190106:1310,39.71,59.85,22.4,0.0,0.0,0.0
20190106:1410,37.38,57.09,15.27,0.0,0.0,0.0
20190106:1510,15.1,29.47,6.41,0.0,0.0,0.0
20190106:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190106:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190106:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190106:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190106:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0710,20.78,36.83,7.76,0.0,0.0,0.0
20190107:0810,36.6,56.17,16.43,0.0,0.0,0.0
