ora,fotovoltaico_cf,fotovoltaico_produzione,eolico_cf,eolico_produzione,wec_cf,wec_produzione,consumo,produzione_diesel
2019-10-03T00:00:00,0.76374,763740.0,0.76374,3818700.0,0.2159665872184867,863866.3488739467,1240621.9094929106,0
2019-10-03T01:00:00,0.69355,693550.0,0.69355,3467750.0,0.2159665872184867,863866.3488739467,1206485.6579732294,0
2019-10-03T02:00:00,0.67213,672130.0,0.67213,3360650.0,0.2159665872184867,863866.3488739467,999408.1386081639,0
2019-10-03T03:00:00,0.52274,522740.0,0.52274,2613700.0,0.2159665872184867,863866.3488739467,1274595.2373803093,0
2019-10-03T04:00:00,0.32425,324250.0,0.32425,1621250.0,0.2159665872184867,863866.3488739467,1691429.456561275,0
2019-10-03T05:00:00,0.037939999999999995,37939.99999999999,0.037939999999999995,189699.99999999997,0.2159665872184867,863866.3488739467,1227992.6405984622,136486.2917245156
2019-10-03T06:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1443094.564139784,579228.2152658374
2019-10-03T07:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1427960.7464886457,564094.397614699
2019-10-03T08:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,992732.5851937787,128866.23631983204
2019-10-03T09:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1541614.5395405833,677748.1906666366
2019-10-03T10:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1267045.5033715158,403179.1544975691
2019-10-03T11:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1409111.2355386682,332917.9359763672
2019-10-03T12:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1230448.4861727613,154255.18661046028
2019-10-03T13:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1782797.334796755,706604.0352344541
2019-10-03T14:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1127354.0123514854,51160.712789184414
2019-10-03T15:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1479376.2456588561,403182.9460965551
2019-10-03T16:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1516946.1881222865,440752.88855998544
2019-10-03T17:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1487503.0946849673,411309.7951226663
2019-10-03T18:00:00,0.00535,5350.0,0.00535,26750.0,0.26904832489057523,1076193.299562301,2339167.053535635,1230873.753973334
2019-10-03T19:00:00,0.14683000000000002,146830.00000000003,0.14683000000000002,734150.0000000001,0.26904832489057523,1076193.299562301,1905637.2883809032,0
2019-10-03T20:00:00,0.33373,333730.0,0.33373,1668650.0000000002,0.26904832489057523,1076193.299562301,1624316.9525693879,0
2019-10-03T21:00:00,0.51746,517460.00000000006,0.51746,2587300.0,0.1376299083520212,550519.6334080849,1304463.2715543737,0
2019-10-03T22:00:00,0.69814,698140.0,0.69814,3490700.0,0.1376299083520212,550519.6334080849,1566807.5812404864,0
2019-10-03T23:00:00,0.7831,783100.0,0.7831,3915500.0,0.1376299083520212,550519.6334080849,1288655.8669607886,0
2019-10-04T00:00:00,0.81383,813830.0,0.81383,4069150.0000000005,0.1376299083520212,550519.6334080849,1227547.6133888538,0
2019-10-04T01:00:00,0.79355,793550.0,0.79355,3967750.0,0.11208346475275116,448333.8590110046,1096201.4686451843,0
2019-10-04T02:00:00,0.71353,713530.0,0.71353,3567650.0,0.11208346475275116,448333.8590110046,1506635.0818078592,0
2019-10-04T03:00:00,0.5764199999999999,576419.9999999999,0.5764199999999999,2882099.9999999995,0.11208346475275116,448333.8590110046,1286399.9047622862,0
2019-10-04T04:00:00,0.34311,343110.0,0.34311,1715550.0000000002,0.11208346475275116,448333.8590110046,1543032.3385379363,0
2019-10-04T05:00:00,0.04711,47110.0,0.04711,235550.0,0.2159665872184867,863866.3488739467,1707312.8622904816,560786.5134165348
2019-10-04T06:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1901494.2527690185,1037627.9038950718
2019-10-04T07:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1719585.5561076654,855719.2072337187
2019-10-04T08:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1329632.750712081,253439.45114978007
2019-10-04T09:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1356073.35507346,279880.0555111589
2019-10-04T10:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1633040.8052199779,556847.5056576768
2019-10-04T11:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1751963.4861924427,675770.1866301417
2019-10-04T12:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1966735.1275555522,890541.8279932512
2019-10-04T13:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1640317.5582993738,564124.2587370728
2019-10-04T14:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1235515.2361569956,159321.93659469462
2019-10-04T15:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1739171.9570120587,662978.6574497577
2019-10-04T16:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1180448.8482999473,104255.54873764631
2019-10-04T17:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1807870.449523785,731677.1499614839
2019-10-04T18:00:00,0.00495,4950.0,0.00495,24750.000000000004,0.26904832489057523,1076193.299562301,2782377.3409168506,1676484.0413545496
2019-10-04T19:00:00,0.13438,134380.0,0.13438,671900.0,0.26904832489057523,1076193.299562301,2497132.0538330628,614658.7542707617
2019-10-04T20:00:00,0.35114999999999996,351149.99999999994,0.35114999999999996,1755749.9999999998,0.26904832489057523,1076193.299562301,2197263.0788408606,0
2019-10-04T21:00:00,0.48360000000000003,483600.00000000006,0.48360000000000003,2418000.0,0.3296805731798834,1318722.2927195337,1902547.912719762,0
2019-10-04T22:00:00,0.632,632000.0,0.632,3160000.0,0.3296805731798834,1318722.2927195337,1515143.7485126958,0
2019-10-04T23:00:00,0.67234,672340.0,0.67234,3361700.0000000005,0.3296805731798834,1318722.2927195337,1327862.8657325462,0
2019-10-05T00:00:00,0.78706,787060.0,0.78706,3935300.0,0.3296805731798834,1318722.2927195337,1226889.0319071803,0
2019-10-05T01:00:00,0.79544,795440.0,0.79544,3977200.0,0.3296805731798834,1318722.2927195337,1155536.9203863223,0
2019-10-05T02:00:00,0.71058,710580.0,0.71058,3552900.0,0.3296805731798834,1318722.2927195337,1239918.0394592283,0
2019-10-05T03:00:00,0.58101,581010.0,0.58101,2905050.0,0.3296805731798834,1318722.2927195337,1202980.1133365787,0
2019-10-05T04:00:00,0.33994,339940.0,0.33994,1699700.0,0.3296805731798834,1318722.2927195337,1453796.1681272874,0
2019-10-05T05:00:00,0.04154,41540.0,0.04154,207700.0,0.3296805731798834,1318722.2927195337,1449905.653358179,0
2019-10-05T06:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1692560.903798226,373838.61107869237
2019-10-05T07:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1562157.9118524918,243435.61913295812
2019-10-05T08:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1496584.2558772753,177861.9631577416
2019-10-05T09:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1457476.6584650474,138754.3657455137
2019-10-05T10:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1584775.2067026417,266052.913983108
2019-10-05T11:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1586899.0570391573,268176.7643196236
2019-10-05T12:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1692293.6794886738,373571.38676914014
2019-10-05T13:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1466016.45734909,147294.16462955624
2019-10-05T14:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1494527.1495097699,175804.8567902362
2019-10-05T15:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1344295.3573337104,25573.06461417675
2019-10-05T16:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1397021.5615361452,78299.2688166115
2019-10-05T17:00:00,0.0,0.0,0.0,0.0,0.3296805731798834,1318722.2927195337,1285326.6740726552,0
2019-10-05T18:00:00,0.00363,3630.0,0.00363,18150.0,0.3296805731798834,1318722.2927195337,1919139.3506361844,578637.0579166508
2019-10-05T19:00:00,0.10976999999999999,109769.99999999999,0.10976999999999999,548850.0,0.3296805731798834,1318722.2927195337,2064486.5409906122,87144.24827107857
2019-10-05T20:00:00,0.31523,315230.0,0.31523,1576150.0,0.3296805731798834,1318722.2927195337,1236278.4107910774,0
2019-10-05T21:00:00,0.49574,495740.0,0.49574,2478700.0,0.3296805731798834,1318722.2927195337,1740851.056362926,0
2019-10-05T22:00:00,0.61165,611650.0,0.61165,3058250.0,0.3296805731798834,1318722.2927195337,1272496.7285557482,0
2019-10-05T23:00:00,0.71084,710840.0,0.71084,3554200.0,0.3296805731798834,1318722.2927195337,1320529.6833092703,0
2019-10-06T00:00:00,0.70682,706820.0,0.70682,3534100.0,0.26904832489057523,1076193.299562301,1199057.6692589817,0
2019-10-06T01:00:00,0.71511,715110.0,0.71511,3575550.0,0.26904832489057523,1076193.299562301,1256674.1790013781,0
2019-10-06T02:00:00,0.56902,569020.0,0.56902,2845100.0,0.26904832489057523,1076193.299562301,1389473.6296653876,0
2019-10-06T03:00:00,0.35069,350690.0,0.35069,1753450.0,0.26904832489057523,1076193.299562301,1264018.7902764776,0
2019-10-06T04:00:00,0.21927000000000002,219270.00000000003,0.21927000000000002,1096350.0,0.26904832489057523,1076193.299562301,1298136.5109670772,0
2019-10-06T05:00:00,0.0831,83100.0,0.0831,415499.99999999994,0.26904832489057523,1076193.299562301,1956733.730714763,381940.431152462
2019-10-06T06:00:00,0.0,0.0,0.0,0.0,0.26904832489057523,1076193.299562301,1437698.4813725317,361505.1818102307
2019-10-06T07:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1636615.2897391682,772748.9408652215
2019-10-06T08:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1353965.6262613172,490099.2773873705
2019-10-06T09:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1856974.9204007692,993108.5715268225
2019-10-06T10:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1555578.6255333016,691712.2766593549
2019-10-06T11:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1933837.6316848358,1069971.2828108892
2019-10-06T12:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,2382262.3821704863,1518396.0332965394
2019-10-06T13:00:00,0.0,0.0,0.0,0.0,0.2159665872184867,863866.3488739467,1780661.1320921655,916794.7832182188
2019-10-06T14:00:00,0.0,0.0,0.0,0.0,0.17001854426539773,680074.177061591,1729344.8883163221,1049270.7112547313
2019-10-06T15:00:00,0.0,0.0,0.0,0.0,0.17001854426539773,680074.177061591,1552451.18468845,872377.0076268591
2019-10-06T16:00:00,0.0,0.0,0.0,0.0,0.17001854426539773,680074.177061591,1683679.7626064725,1003605.5855448815
2019-10-06T17:00:00,0.0,0.0,0.0,0.0,0.17001854426539773,680074.177061591,1353584.2866937162,673510.1096321252
2019-10-06T18:00:00,0.00447,4470.0,0.00447,22350.0,0.17001854426539773,680074.177061591,2384589.75988176,1677695.5828201692
