data,cf_fotovoltaico,cf_eolico,cf_wec,energia_consumata
2019-01-01T02:00:00,0.0,0.39556303008511284,0.38430434492772664,2679121.937489157
2019-01-01T03:00:00,0.0,0.3233930832578639,0.43851963541579303,2608517.3430752233
2019-01-01T04:00:00,0.0,0.30901347075631913,0.43851963541579303,3135390.870560992
2019-01-01T05:00:00,0.0,0.30370308619678693,0.43851963541579303,3515272.1782253534
2019-01-01T06:00:00,0.0,0.294372476838014,0.43851963541579303,4437131.040209692
2019-01-01T07:00:00,0.0,0.33450592228891235,0.43851963541579303,5010012.49290043
2019-01-01T08:00:00,0.03046,0.3878251016870617,0.43851963541579303,4267465.361990848
2019-01-01T09:00:00,0.09395,0.4430122874769455,0.5993364211382567,4074262.0990442256
2019-01-01T10:00:00,0.0588,0.4197627477371462,0.5993364211382567,3713444.382761608
2019-01-01T11:00:00,0.16929,0.3959295395011429,0.5993364211382567,4122687.7857464054
2019-01-01T12:00:00,0.18412,0.26233675877436474,0.43851963541579303,3773557.2204015027
2019-01-01T13:00:00,0.45749,0.1424349442982235,0.2543502424863241,4620125.403321658
2019-01-01T14:00:00,0.12209,0.09476059214798403,0.2543502424863241,4990992.194838289
2019-01-01T15:00:00,0.06445999999999999,0.04894684059050858,0.2543502424863241,4238167.768051624
2019-01-01T16:00:00,0.01791,0.0,0.2543502424863241,3710202.6081349766
2019-01-01T17:00:00,0.0,0.0,0.2885466971672785,2759455.2700997693
2019-01-01T18:00:00,0.0,0.0,0.11352050757702098,3819495.2178262547
2019-01-01T19:00:00,0.0,0.0,0.11352050757702098,4044619.518555114
2019-01-01T20:00:00,0.0,0.0,0.11352050757702098,6197899.507735428
2019-01-01T21:00:00,0.0,0.0658061127060077,0.11352050757702098,5810312.1746621
2019-01-01T22:00:00,0.0,0.10485466257176972,0.1172809095942033,5111009.3451336045
2019-01-01T23:00:00,0.0,0.08789833310080732,0.1172809095942033,4640752.732860659
2019-01-02T00:00:00,0.0,0.07162897687896765,0.1172809095942033,3301310.540956243
2019-01-02T01:00:00,0.0,0.04878492248676073,0.1172809095942033,3162963.9598257444
2019-01-02T02:00:00,0.0,0.0,0.1172809095942033,2967782.4889048003
2019-01-02T03:00:00,0.0,0.0,0.1172809095942033,2654801.2785143433
2019-01-02T04:00:00,0.0,0.07231340218110748,0.11524175201543595,1976110.8257824196
2019-01-02T05:00:00,0.0,0.1409174281182407,0.11524175201543595,3139891.211692471
2019-01-02T06:00:00,0.0,0.19464340003805602,0.11524175201543595,2859227.9013177706
2019-01-02T07:00:00,0.0,0.17917222210533132,0.09210020336588408,3442512.1068644854
2019-01-02T08:00:00,0.0297,0.18050263146972628,0.09210020336588408,3234854.72903317
2019-01-02T09:00:00,0.07995999999999999,0.17932031925150665,0.09210020336588408,3546738.1930010905
2019-01-02T10:00:00,0.11298,0.18012495259439515,0.09210020336588408,3158166.7403661013
2019-01-02T11:00:00,0.031219999999999998,0.1618520992814171,0.09210020336588408,3205771.674131733
2019-01-02T12:00:00,0.026690000000000002,0.11469711052115368,0.09210020336588408,2910388.0989918965
2019-01-02T13:00:00,0.05482,0.10121318468434513,0.015324396799998578,3220681.993374865
2019-01-02T14:00:00,0.07178,0.12361594630826325,0.11524175201543595,4147710.16994694
2019-01-02T15:00:00,0.07178,0.15067622254083582,0.11524175201543595,4158706.765298824
2019-01-02T16:00:00,0.01862,0.24931234642658215,0.11524175201543595,3837848.9646149664
2019-01-02T17:00:00,0.0,0.2770243503838353,0.1172809095942033,3181291.1978384345
2019-01-02T18:00:00,0.0,0.3194457859853844,0.1172809095942033,3511773.1396917826
2019-01-02T19:00:00,0.0,0.4725910741556213,0.1172809095942033,4589257.195933908
2019-01-02T20:00:00,0.0,0.701636936279637,0.32230238173726855,4089193.7101989742
2019-01-02T21:00:00,0.0,0.6103996384347683,0.32230238173726855,4564009.902386725
2019-01-02T22:00:00,0.0,0.29871297270218183,0.32230238173726855,4188598.183039374
2019-01-02T23:00:00,0.0,0.3123058274319006,0.2885466971672785,3033946.5813758723
2019-01-03T00:00:00,0.0,0.6029340209282755,0.2885466971672785,2828176.6192235677
2019-01-03T01:00:00,0.0,0.39194355830439354,0.2885466971672785,3195871.043401565
2019-01-03T02:00:00,0.0,0.42131651411154913,0.5993364211382567,3142998.198542306
2019-01-03T03:00:00,0.0,0.5917640990177707,0.43851963541579303,2667329.3688773876
2019-01-03T04:00:00,0.0,0.7385672453256334,0.43851963541579303,2743984.5738945976
2019-01-03T05:00:00,0.0,0.7467531827478326,0.43851963541579303,3313833.3037369424
2019-01-03T06:00:00,0.0,0.9523738374700192,0.7153209977441537,3823760.8558428297
2019-01-03T07:00:00,0.0,0.9514369826906082,0.7153209977441537,4828841.71432294
2019-01-03T08:00:00,0.03275,0.936683349594334,0.592087007207462,4190056.681384661
2019-01-03T09:00:00,0.09395,0.9679125233505834,0.592087007207462,3431841.7692909795
2019-01-03T10:00:00,0.14612999999999998,0.9393223779897777,0.592087007207462,3731602.634723825
2019-01-03T11:00:00,0.14612999999999998,0.9900808391962622,0.6868015445257379,3921204.0887406627
2019-01-03T12:00:00,0.16598,0.9600592366694471,0.6868015445257379,3882598.2644000985
2019-01-03T13:00:00,0.36194,0.9645123553710737,0.6148018151302984,4879145.000569885
2019-01-03T14:00:00,0.05799,0.9859123830659409,0.6148018151302984,4188992.156087593
2019-01-03T15:00:00,0.07587,0.9288077468281813,0.6148018151302984,3948719.3161888607
2019-01-03T16:00:00,1e-05,0.8533763768681552,0.6148018151302984,3521253.683136223
