time,P,G(i),H_sun,T2m,WS10m,Int
20190105:0630,0.0,0.0,-3.89,0.0,0.0,0.0
20190105:0730,0.0,0.0,-16.95,0.0,0.0,0.0
20190105:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190105:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190105:1830,0.8,7.45,14.16,0.0,0.0,0.0
20190105:1930,85.94,112.79,27.93,0.0,0.0,0.0
20190105:2030,267.39,311.09,41.76,0.0,0.0,0.0
20190105:2130,443.15,512.67,55.53,0.0,0.0,0.0
20190105:2230,555.17,652.32,68.86,0.0,0.0,0.0
20190105:2330,604.63,716.12,79.54,0.0,0.0,0.0
20190106:0030,613.04,729.89,76.83,0.0,0.0,0.0
20190106:0130,636.95,765.91,64.62,0.0,0.0,0.0
20190106:0230,526.79,618.36,51.05,0.0,0.0,0.0
20190106:0330,406.07,475.2,37.22,0.0,0.0,0.0
20190106:0430,266.83,320.01,23.38,0.0,0.0,0.0
20190106:0530,135.9,181.56,9.66,0.0,0.0,0.0
20190106:0630,0.0,0.0,-3.83,0.0,0.0,0.0
20190106:0730,0.0,0.0,-16.9,0.0,0.0,0.0
20190106:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190106:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190106:1830,2.71,11.2,14.05,0.0,0.0,0.0
20190106:1930,94.32,122.21,27.82,0.0,0.0,0.0
20190106:2030,289.46,335.74,41.67,0.0,0.0,0.0
20190106:2130,463.64,537.02,55.46,0.0,0.0,0.0
20190106:2230,587.93,693.53,68.81,0.0,0.0,0.0
20190106:2330,650.02,777.56,79.59,0.0,0.0,0.0
20190107:0030,665.12,798.97,76.98,0.0,0.0,0.0
20190107:0130,646.25,776.91,64.74,0.0,0.0,0.0
20190107:0230,486.31,570.81,51.16,0.0,0.0,0.0
20190107:0330,437.13,512.53,37.32,0.0,0.0,0.0
20190107:0430,322.68,387.87,23.46,0.0,0.0,0.0
20190107:0530,161.51,219.15,9.73,0.0,0.0,0.0
20190107:0630,0.0,0.0,-3.77,0.0,0.0,0.0
20190107:0730,0.0,0.0,-16.86,0.0,0.0,0.0
20190107:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190107:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1530,0.0,0.0,0.0,0.0,0.0,0.0
