index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction,wind_100m_u,wind_100m_v
44,-13.199999809265137,-176.1999969482422,2019-01-03 20:00:00,2.7802186,8.575335,0.6791687,-2.9417174,-10.507498
45,-13.199999809265137,-176.1999969482422,2019-01-03 21:00:00,2.8063393,8.63394,0.009246826,-3.2210062,-10.734317
46,-13.199999809265137,-176.1999969482422,2019-01-03 22:00:00,2.8150115,8.727063,359.54285,-4.747986,-8.891294
47,-13.199999809265137,-176.1999969482422,2019-01-03 23:00:00,2.8274746,8.786852,359.30124,-4.8087006,-9.63009
48,-13.199999809265137,-176.1999969482422,2019-01-04 00:00:00,2.8534915,8.78954,359.46597,-4.999446,-9.82704
49,-13.199999809265137,-176.1999969482422,2019-01-04 01:00:00,2.8785217,8.783411,359.55383,-4.387744,-10.053392
50,-13.199999809265137,-176.1999969482422,2019-01-04 02:00:00,2.8980472,8.784916,359.22986,-2.722132,-10.262477
51,-13.199999809265137,-176.1999969482422,2019-01-04 03:00:00,2.913003,8.78954,358.66974,-1.7178066,-10.9989395
52,-13.199999809265137,-176.1999969482422,2019-01-04 04:00:00,3.089616,8.982991,358.25244,-1.6525381,-11.0386095
53,-13.199999809265137,-176.1999969482422,2019-01-04 05:00:00,3.0975611,8.96826,358.14807,-1.8832548,-11.397507
54,-13.199999809265137,-176.1999969482422,2019-01-04 06:00:00,3.1062336,8.9342785,358.47754,-2.4590342,-11.476847
55,-13.199999809265137,-176.1999969482422,2019-01-04 07:00:00,3.1112707,8.899653,359.2024,-3.565057,-11.59259
56,-13.199999809265137,-176.1999969482422,2019-01-04 08:00:00,3.1206698,8.853415,0.22340393,-4.500572,-11.353169
57,-13.199999809265137,-176.1999969482422,2019-01-04 09:00:00,3.11906,8.835349,1.1019897,-4.2713737,-11.287364
58,-13.199999809265137,-176.1999969482422,2019-01-04 10:00:00,3.0879023,8.883416,1.9640961,-5.4350758,-10.21534
59,-13.199999809265137,-176.1999969482422,2019-01-04 11:00:00,3.0699866,8.898685,3.0293732,-5.237752,-10.673645
60,-13.199999809265137,-176.1999969482422,2019-01-04 12:00:00,3.0547712,8.908041,3.776184,-4.3847084,-10.516365
61,-13.199999809265137,-176.1999969482422,2019-01-04 13:00:00,3.046099,8.904385,4.1385956,-3.402139,-11.194023
62,-13.199999809265137,-176.1999969482422,2019-01-04 14:00:00,3.0303123,8.917611,4.0177917,-3.2210062,-11.13195
63,-13.199999809265137,-176.1999969482422,2019-01-04 15:00:00,3.0106308,8.935784,3.649887,-2.825853,-11.844145
64,-13.199999809265137,-176.1999969482422,2019-01-04 16:00:00,3.027508,8.949226,3.265503,-2.0127795,-13.38941
65,-13.199999809265137,-176.1999969482422,2019-01-04 17:00:00,3.0359206,8.895567,2.513214,-1.1733963,-13.722637
66,-13.199999809265137,-176.1999969482422,2019-01-04 18:00:00,3.0381017,8.898255,1.4314575,-2.0998042,-12.715485
67,-13.199999809265137,-176.1999969482422,2019-01-04 19:00:00,3.0289621,8.889653,0.21791077,-2.4661176,-13.434679
68,-13.199999809265137,-176.1999969482422,2019-01-04 20:00:00,3.038725,8.84793,359.12003,-1.9171536,-13.9867935
69,-13.199999809265137,-176.1999969482422,2019-01-04 21:00:00,3.0381536,8.845135,358.3238,-1.8210218,-14.706921
70,-13.199999809265137,-176.1999969482422,2019-01-04 22:00:00,3.0246,8.877609,358.68622,-3.2984173,-10.969537
71,-13.199999809265137,-176.1999969482422,2019-01-04 23:00:00,3.0108385,8.912664,358.7027,-1.735009,-11.460512
72,-13.199999809265137,-176.1999969482422,2019-01-05 00:00:00,3.0136428,8.908471,358.61484,-1.2467601,-12.249246
73,-13.199999809265137,-176.1999969482422,2019-01-05 01:00:00,3.053473,8.827069,358.8839,-1.6029541,-13.448681
74,-13.199999809265137,-176.1999969482422,2019-01-05 02:00:00,3.0931473,8.759861,359.24634,-1.8109028,-13.374008
75,-13.199999809265137,-176.1999969482422,2019-01-05 03:00:00,3.109557,8.746204,359.6911,-2.3634083,-13.094917
76,-13.199999809265137,-176.1999969482422,2019-01-05 04:00:00,3.1062336,8.77384,0.29478455,-3.0621355,-12.76029
77,-13.199999809265137,-176.1999969482422,2019-01-05 05:00:00,3.0952244,8.8135195,0.9152832,-3.5114257,-12.512468
78,-13.199999809265137,-176.1999969482422,2019-01-05 06:00:00,3.08515,8.845242,1.4314575,-3.62729,-12.268381
